1.3999999999999999   10   (0.11074646591136081,0.061786992836891173)   (0.22217649950390825,-0.061786992836891173)   (0.2214929318227214,0.1235739856737824)   (0.44435299900781644,-0.1235739856737824)   
1.5   0   (0.24999999999999997,0)   (0.083058143800366219,0)   (0.5,0)   (0.16611628760073222,0)   
1.5   0.10000000000000001   (0.24341088790614379,0.032344364673972073)   (0.089647255894222413,-0.032344364673972073)   (0.48682177581228764,0.064688729347944202)   (0.1792945117884446,-0.064688729347944202)   
1.5   1   (0.11196883222017254,-0.062858610483761734)   (0.22108931158019365,0.062858610483761734)   (0.22393766444034491,-0.12571722096752355)   (0.44217862316038725,0.12571722096752355)   
1.5   2   (0.15438404903962355,0.082174259518122905)   (0.17867409476074264,-0.082174259518122905)   (0.30876809807924677,0.16434851903624589)   (0.35734818952148528,-0.16434851903624589)   
1.5   10   (0.11085913290897637,0.061887716030639396)   (0.22219901089138983,-0.061887716030639396)   (0.22171826581795251,0.12377543206127888)   (0.44439802178277965,-0.12377543206127888)   
1.6000000000000001   0   (0.24999999999999992,0)   (0.083148818052771786,0)   (0.49999999999999983,0)   (0.16629763610554335,0)   
1.6000000000000001   0.10000000000000001   (0.24341446677382098,0.032379674891033924)   (0.089734351278950741,-0.032379674891033924)   (0.48682893354764195,0.06475934978206789)   (0.17946870255790126,-0.06475934978206789)   
1.6000000000000001   1   (0.11204380366970605,-0.062927232984242451)   (0.22110501438306568,0.062927232984242451)   (0.22408760733941194,-0.12585446596848499)   (0.4422100287661313,0.12585446596848499)   
1.6000000000000001   2   (0.1544359827192216,0.082263968837496759)   (0.17871283533355012,-0.082263968837496759)   (0.30887196543844292,0.16452793767499363)   (0.35742567066710024,-0.16452793767499363)   
1.6000000000000001   10   (0.11093470709024969,0.06195527860942341)   (0.22221411096252203,-0.06195527860942341)   (0.22186941418049916,0.12391055721884688)   (0.444428221925044,-0.12391055721884688)   
1.7   0   (0.24999999999999997,0)   (0.083209626466339809,0)   (0.49999999999999994,0)   (0.1664192529326794,0)   
1.7   0.10000000000000001   (0.24341686685168268,0.032403354802643995)   (0.089792759614657103,-0.032403354802643995)   (0.48683373370336525,0.064806709605288046)   (0.17958551922931398,-0.064806709605288046)   
1.7   1   (0.11209408139230184,-0.062973252943366448)   (0.22111554507403791,0.062973252943366448)   (0.22418816278460357,-0.12594650588673301)   (0.44223109014807582,0.12594650588673301)   
1.7   2   (0.15447081073912061,0.082324130142924376)   (0.17873881572721917,-0.082324130142924376)   (0.30894162147824095,0.16464826028584884)   (0.35747763145443834,-0.16464826028584884)   
1.7   10   (0.11098538901977233,0.062000587758640806)   (0.22222423744656744,-0.062000587758640806)   (0.22197077803954443,0.12400117551728168)   (0.44444847489313488,-0.12400117551728168)   
1.8   0   (0.24999999999999992,0)   (0.083250399993576404,0)   (0.49999999999999983,0)   (0.16650079998715256,0)   
